city,alpha,beta,w,tour_len,seconds
AISearchfile017.txt,1.4,1.8,0.9,2293,0.96
AISearchfile017.txt,1.4,2.0,0.5,1962,0.47
AISearchfile017.txt,1.4,2.0,0.7,2422,0.61
AISearchfile017.txt,1.4,2.0,0.9,2221,1.02
AISearchfile017.txt,1.6,1.0,0.5,1977,0.31
AISearchfile017.txt,1.6,1.0,0.7,2236,0.55
AISearchfile017.txt,1.6,1.0,0.9,2417,0.87
AISearchfile017.txt,1.6,1.2,0.5,2018,0.42
AISearchfile017.txt,1.6,1.2,0.7,2383,0.59
AISearchfile017.txt,1.6,1.2,0.9,2169,0.94
AISearchfile017.txt,1.6,1.4,0.5,1933,0.51
AISearchfile017.txt,1.6,1.4,0.7,2301,0.6
AISearchfile017.txt,1.6,1.4,0.9,2409,0.94
AISearchfile017.txt,1.6,1.6,0.5,1693,0.42
AISearchfile017.txt,1.6,1.6,0.7,2322,0.6
AISearchfile017.txt,1.6,1.6,0.9,2186,0.97
AISearchfile017.txt,1.6,1.8,0.5,2080,0.5
AISearchfile017.txt,1.6,1.8,0.7,2245,0.62
AISearchfile017.txt,1.6,1.8,0.9,2241,1.01
AISearchfile017.txt,1.6,2.0,0.5,1776,0.54
AISearchfile017.txt,1.6,2.0,0.7,2134,0.6
AISearchfile017.txt,1.6,2.0,0.9,2389,1.05
AISearchfile017.txt,1.8,1.0,0.5,1839,0.4
AISearchfile017.txt,1.8,1.0,0.7,2232,0.56
AISearchfile017.txt,1.8,1.0,0.9,2129,0.84
AISearchfile017.txt,1.8,1.2,0.5,2119,0.4
AISearchfile017.txt,1.8,1.2,0.7,2391,0.59
AISearchfile017.txt,1.8,1.2,0.9,2395,0.93
AISearchfile017.txt,1.8,1.4,0.5,2153,0.5
AISearchfile017.txt,1.8,1.4,0.7,2023,0.61
AISearchfile017.txt,1.8,1.4,0.9,2450,0.97
AISearchfile017.txt,1.8,1.6,0.5,1798,0.5
AISearchfile017.txt,1.8,1.6,0.7,2014,0.6
AISearchfile017.txt,1.8,1.6,0.9,2303,1.07
AISearchfile017.txt,1.8,1.8,0.5,2210,0.54
AISearchfile017.txt,1.8,1.8,0.7,2368,0.64
AISearchfile017.txt,1.8,1.8,0.9,2308,1.04
AISearchfile017.txt,1.8,2.0,0.5,1730,0.51
AISearchfile017.txt,1.8,2.0,0.7,1984,0.65
AISearchfile017.txt,1.8,2.0,0.9,2267,1.07
AISearchfile017.txt,2.0,1.0,0.5,2093,0.4
AISearchfile017.txt,2.0,1.0,0.7,2130,0.53
AISearchfile017.txt,2.0,1.0,0.9,2420,0.94
AISearchfile017.txt,2.0,1.2,0.5,2037,0.45
AISearchfile017.txt,2.0,1.2,0.7,2588,0.61
AISearchfile017.txt,2.0,1.2,0.9,2140,0.98
AISearchfile017.txt,2.0,1.4,0.5,1722,0.48
AISearchfile017.txt,2.0,1.4,0.7,2278,0.63
AISearchfile017.txt,2.0,1.4,0.9,2368,1.01
AISearchfile017.txt,2.0,1.6,0.5,2207,0.53
AISearchfile017.txt,2.0,1.6,0.7,2135,0.63
AISearchfile017.txt,2.0,1.6,0.9,2459,1.03
AISearchfile017.txt,2.0,1.8,0.5,1977,0.52
AISearchfile017.txt,2.0,1.8,0.7,2385,0.65
AISearchfile017.txt,2.0,1.8,0.9,2478,1.08
AISearchfile017.txt,2.0,2.0,0.5,2370,0.56
AISearchfile017.txt,2.0,2.0,0.7,2446,0.68
AISearchfile017.txt,2.0,2.0,0.9,2165,1.11
AISearchfile021.txt,1.0,1.0,0.5,3144,0.39
AISearchfile021.txt,1.0,1.0,0.7,4414,0.65
AISearchfile021.txt,1.0,1.0,0.9,4503,0.94
AISearchfile021.txt,1.0,1.2,0.5,3187,0.37
AISearchfile021.txt,1.0,1.2,0.7,4528,0.66
AISearchfile021.txt,1.0,1.2,0.9,4580,1.01
AISearchfile021.txt,1.0,1.4,0.5,3175,0.47
AISearchfile021.txt,1.0,1.4,0.7,4476,0.68
AISearchfile021.txt,1.0,1.4,0.9,4333,1.01
AISearchfile021.txt,1.0,1.6,0.5,2902,0.4
AISearchfile021.txt,1.0,1.6,0.7,4732,0.69
AISearchfile021.txt,1.0,1.6,0.9,4375,1.1
AISearchfile021.txt,1.0,1.8,0.5,3534,0.5
AISearchfile021.txt,1.0,1.8,0.7,4325,0.72
AISearchfile021.txt,1.0,1.8,0.9,4671,1.13
AISearchfile021.txt,1.0,2.0,0.5,3588,0.49
AISearchfile021.txt,1.0,2.0,0.7,4447,0.73
AISearchfile021.txt,1.0,2.0,0.9,4500,1.1
AISearchfile021.txt,1.2,1.0,0.5,3437,0.44
AISearchfile021.txt,1.2,1.0,0.7,4432,0.63
AISearchfile021.txt,1.2,1.0,0.9,3949,0.92
AISearchfile021.txt,1.2,1.2,0.5,3323,0.35
AISearchfile021.txt,1.2,1.2,0.7,4551,0.69
AISearchfile021.txt,1.2,1.2,0.9,4734,1.05
AISearchfile021.txt,1.2,1.4,0.5,3367,0.44
AISearchfile021.txt,1.2,1.4,0.7,4128,0.7
AISearchfile021.txt,1.2,1.4,0.9,4685,1.15
AISearchfile021.txt,1.2,1.6,0.5,3398,0.52
AISearchfile021.txt,1.2,1.6,0.7,4294,0.7
AISearchfile021.txt,1.2,1.6,0.9,4418,1.08
AISearchfile021.txt,1.2,1.8,0.5,4001,0.57
AISearchfile021.txt,1.2,1.8,0.7,3675,0.69
AISearchfile021.txt,1.2,1.8,0.9,4500,1.04
AISearchfile021.txt,1.2,2.0,0.5,4038,0.61
AISearchfile021.txt,1.2,2.0,0.7,4404,0.75
AISearchfile021.txt,1.2,2.0,0.9,4553,1.27
AISearchfile021.txt,1.4,1.0,0.5,3194,0.49
AISearchfile021.txt,1.4,1.0,0.7,4727,0.69
AISearchfile021.txt,1.4,1.0,0.9,4532,1.04
AISearchfile021.txt,1.4,1.2,0.5,3406,0.48
AISearchfile021.txt,1.4,1.2,0.7,4468,0.71
AISearchfile021.txt,1.4,1.2,0.9,4569,1.1
AISearchfile021.txt,1.4,1.4,0.5,3782,0.52
AISearchfile021.txt,1.4,1.4,0.7,3744,0.7
AISearchfile021.txt,1.4,1.4,0.9,4605,1.12
AISearchfile021.txt,1.4,1.6,0.5,3724,0.55
AISearchfile021.txt,1.4,1.6,0.7,3947,0.74
AISearchfile021.txt,1.4,1.6,0.9,4533,1.13
AISearchfile021.txt,1.4,1.8,0.5,3627,0.54
AISearchfile021.txt,1.4,1.8,0.7,3998,0.77
AISearchfile021.txt,1.4,1.8,0.9,4484,1.21
